ano;N;reserva_total;escola_publica;social_renda;pcd;etnico_racial
2010;35672;-0.03234893811538086;-0.02969970172745143;-0.030745191755218955;-0.005645752422617206;-0.02587798123919832
2011;39859;-0.0541002583576288;-0.050365036343635726;-0.019718537227968833;-0.010798126988031455;-0.04528125338024814
2012;40807;-0.11551255768406539;-0.10350037598137139;-0.024876532229592168;-0.030678157991218924;-0.10518451441966709
2013;45159;-0.11643569281976907;-0.11890695252557731;-0.08650219940589435;-0.027036522848844682;-0.0937278131364077
2014;47050;-0.11616694514070611;-0.10618002928020329;-0.05969650686376559;-0.038575199197022056;-0.10447567945277095
2015;50596;-0.14021545672345806;-0.12948111435558676;-0.10377530561320689;-0.03734101041281532;-0.13458452848565491
2016;54464;-0.19944076207935788;-0.18767383597745657;-0.1630353917911357;-0.07054721775530695;-0.18223756000966387
2017;59182;-0.18932266498529768;-0.17811976867854398;-0.1495847969972766;-0.06976112332164763;-0.16768272538737367
2018;68323;-0.20113859252012053;-0.18847578852055916;-0.16674607251120283;-0.10519778417222189;-0.18156726274200588
2019;82114;-0.1985011302220997;-0.18766513920734407;-0.17104983317550573;-0.09872164696542535;-0.18101248458329852
2020;96669;-0.09004792813832051;-0.0808738756244789;-0.06213334126815566;-0.0447277646891683;-0.07673334267516498
2021;116481;-0.17535307608148115;-0.17063104169410312;-0.1626134063090877;-0.09200244375292106;-0.16754077429690892
2022;132464;-0.17999957864801938;-0.16099155835502924;-0.1510548758238508;-0.08680510280832836;-0.16919480248017432
2023;147891;-0.18856875953595453;-0.17657343371285816;-0.16631196211501134;-0.10309986077067691;-0.18095220439420046
2024;157531;-0.19308482177198355;-0.1849376245067841;-0.16790977685019662;-0.12574631504929104;-0.1901278605706096
