ano;N;reserva_total;escola_publica;social_renda;pcd;etnico_racial
2010;27169;-0.02653681857750478;-0.03449123129329419;-0.014136901630124587;-5.648406573855807e-05;-0.016544742076490756
2011;29655;-0.007180880722247537;-0.01272804466774114;0.0024173583328130762;0.004429368647155822;-0.010534608623604958
2012;29317;-0.03939035127117832;-0.02282173644112645;-0.013077430668019224;0.0008940809689480221;-0.010576081536142881
2013;33054;-0.009463820758770312;-0.010824639889767857;-0.0008842436724275498;-0.015276676001627663;-0.017571742814577452
2014;35296;0.01697406870535969;-0.02474483264916811;0.03203850530724665;-0.008552373790896286;-0.017373139964746893
2015;38532;0.0008050562737331667;0.005813951793651118;0.013103346049426362;-0.006386797481518342;-0.007600319238011861
2016;42440;-0.03039848774742749;-0.02819879338312067;-0.025407332063923455;-0.00537845585521746;-0.002218950812581619
2017;47431;-0.03767019667089604;-0.021655461020157706;-0.021311782803492215;-0.00454129732465576;-0.01707445896100244
2018;55994;-0.03266921867307269;-0.014232458732398957;-0.016462450430962457;-0.002174605026456587;-0.012916786583260231
2019;69101;-0.03420461023068266;-0.02033128990534806;-0.022764379274716712;-0.0042037880798539515;-0.0017834783943069578
2020;83625;-0.02660747200241943;-0.013580167476792283;-0.012094106923979314;-0.00037799443514875366;-0.0036314265800149272
2021;103132;-0.01881367811116727;-0.007962327126324444;-0.011243665777284749;-0.00657426501245341;-0.007034548720741297
2022;118435;-0.027246110638556014;-0.00985866620681101;-0.019283479402643404;-0.003279033290567082;-0.008936582937833585
2023;133516;-0.027052892283361576;-0.014372326828640425;-0.021367915591197082;-0.012332566253634974;-0.00981630398249503
2024;142706;-0.030109421839841086;-0.011243223776369006;-0.020842154970579056;-0.004877995433374641;-0.016073200153471696
