ano;N;reserva_total;escola_publica;social_renda;pcd;etnico_racial
2010;8503;-0.010385453794955772;-0.008025044781364673;-0.0737846628647638;0.007166498870729808;-0.012462884987229677
2011;10204;-0.002047415318770274;-0.0020540232527097107;-0.013805392754081908;0.01383984452882971;-0.012599934498830382
2012;10360;-0.04955678105258662;-0.0443732432065788;0.013302606394073161;-0.015868203089849785;-0.09392244882072813
2013;10888;-0.005751486371066423;-0.01853725009909354;0.007602010954915186;0.011532424631813486;0.022158992989631143
2014;10948;0.07931810473033152;0.11722353302210324;0.15210905636184416;0.01880394974060821;0.09102475907590266
2015;11558;0.06070089386016393;0.07049441714414562;0.057205467926582244;0.01948527795851263;0.017317095323585836
2016;11553;0.009354260282587366;0.04211297938738674;0.027227959050856766;-0.02731674479732903;0.005753845858344596
2017;11672;0.006885101396399657;0.02315599286918772;0.05789818744182036;-0.014426834643347326;0.03692493851386642
2018;12165;-0.035597430306159215;0.005668111828212508;0.01143677874026437;-0.03297715330372083;-0.013080812207199557
2019;12846;-0.043835822146966776;-0.029876333074951293;-0.04725218542743627;-0.03662147715145975;-0.033139092354807505
2020;12853;-0.031227312087173498;0.008961824872855335;0.025925268070055716;-0.02127762305483458;0.041687004753886606
2021;13163;-0.03514210678041463;-0.0279519416196784;-0.022180195701026032;-0.03916721836161023;-0.04278725501464198
2022;13802;-0.00879795922796941;0.04558945668930614;0.021051832920042295;-0.0430841492754417;-0.050928174225197666
2023;14047;-0.13557904263136053;-0.07290187047300599;-0.09172934521956279;-0.09651738379334546;-0.12360880233748711
2024;14456;-0.2363376411996978;-0.2280579074769546;-0.20524062144958558;-0.1939229313451924;-0.26412258981569126
